"Data Source","World Development Indicators",

"Last Updated Date","2026-01-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Belarus","BLR","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.879997253418","","","","","","","","","","99.5899963378906","","","","","","","","","","99.620002746582","","","","","","","","","","99.870002746582","","","","","",
"Belize","BLZ","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70.3000030517578","","","","","","","","","76.9000015258789","","","","","","","","","","","","","","","90.9199981689453","","","","","","","87.879997253418","","",
"Bermuda","BMU","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","63.2099990844727","","","","","","","","","","","","","","","","79.9899978637695","","","","","","","","","86.7200012207031","","","","","","90.2900009155273","90.6999969482422","91.1699981689453","","92.2300033569336","94.4599990844727","","","92.4599990844727","","","","","93.8499984741211","","","95.5500030517578","",
"Brazil","BRA","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","74.5899963378906","","","","","","","","","","","","","","","","","","","","86.370002746582","","","","88.620002746582","","89.620002746582","90.0100021362305","90.0400009155273","90.3000030517578","90.379997253418","91.4100036621094","91.3399963378906","91.4800033569336","91.7300033569336","92.0500030517578","92.8099975585938","93.0800018310547","93.2300033569336","93.9019248012051","94.7576490611664","94.7848837154757","94.3853874531348","94.5839624750993","94.8005123042056",
"Barbados","BRB","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","99.2699966430664","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brunei Darussalam","BRN","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","77.7399978637695","","","","","","","","","","87.8000030517578","","","","","","","","","","92.6699981689453","","","","","","","","","","96.0899963378906","","","","","","","","","","","","","",
"Bhutan","BTN","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52.810001373291","","","","","","","55.3199996948242","","","","","66.5599975585938","","","","","64.9100036621094","","",
"Botswana","BWA","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","68.5800018310547","","","","","","","","","","","","81.1900024414062","","","","","","","","","","","","","","","","","","","","","",
"Central African Republic","CAF","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","18.2399997711182","","","","","","","","","","","","","33.6199989318848","","","","","","","","","","","","50.6500015258789","","","","","","","","","","","","","","","","","","","42.439998626709","","","","","",
"Canada","CAN","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Central Europe and the Baltics","CEB","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","97.9652786254883","97.9892501831055","98.0133666992188","98.0505676269531","98.0804824829102","98.1107482910156","98.1469116210938","98.2288208007812","98.2894287109375","98.3561935424805","98.4151306152344","98.4713516235352","98.5205917358398","98.5685272216797","","","","","","","","","","","","","","","","","","","","99.3107223510742","99.3286514282227","99.3470001220703","99.3676605224609","99.4153518676758","99.4357528686523","99.452751159668","99.4680099487305","99.4799194335938","99.4918212890625","99.5003890991211",
"Switzerland","CHE","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Channel Islands","CHI","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","91.129997253418","","","","","","","","","","94.2900009155273","","","","","","","","","","95.7200012207031","","","","","","","","","96.6999969482422","","96.2699966430664","","96.870002746582","","96.4000015258789","","","","","","","",
"China","CHN","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","65.5100021362305","","","","","","","","77.7900009155273","","","","","","","","","","90.9199981689453","","","","","","","","","","95.120002746582","","","","","","","","","","96.7399978637695","","","","",
"Cote d'Ivoire","CIV","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.1399993896484","","","","","","","","","","36.3499984741211","","48.7400016784668","","","","","","","","","","","","","","43.9099998474121","","50.0400009155273","","","56.9804529419494","","50","","","",
"Cameroon","CMR","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","41.2200012207031","","","","","","","","","","","","","","","","","","","","","","","","68.4100036621094","","","","","","","70.6800003051758","","","71.1900024414062","","","","","","","","72.5500030517578","","","","","","",
"Congo, Dem. Rep.","COD","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","67.1699981689453","","","","","","","","","","","75.0199966430664","","","","77.0400009155273","","73.5500030517578","","65.6914486099044","","","","",
"Congo, Rep.","COG","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","59.6199989318848","","","","","","","","","","","","","","","","","","","","","76.1100006103516","","","","","","","","","","","","","","","","","","","",
"Colombia","COL","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91.0599975585938","","","91.2099990844727","","","","","","","","92.8000030517578","92.8499984741211","92.3000030517578","92.6500015258789","93.379997253418","93.2399978637695","93.370002746582","93.5800018310547","","","94.1900024414062","94.25","94.6500015258789","94.8927138785262","95.0899963378906","95.25","95.6399993896484","95.666552016916","95.3138834471897","95.4625553716428","95.3399963378906",
"Comoros","COM","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","47.9199981689453","","","","","","","","","","","","","","","","","","","","68.25","","","","","","","","","","","","","","73.7981579213275","","","","","","","75.8250571350015","","","",
"Cabo Verde","CPV","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62.7999992370605","","","","","","","","","","","","","","","","","","","82.2123790224733","","","85.3300018310547","","","86.7900009155273","","","","","","","","","88.4700012207031",
"Costa Rica","CRI","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","92.629997253418","","","","","","","","","","","","","","","","94.870002746582","","","","","","","","","","","97.4100036621094","","","","","","","","","","","","","",
"Caribbean small states","CSS","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86.8093719482422","86.8694686889648","87.1705474853516","87.4697418212891","87.7618865966797","88.04931640625","88.3353881835938","88.6244125366211","88.8828201293945","89.1533126831055","89.4106826782227","89.6548614501953","89.9503021240234","90.1519622802734","90.7480392456055","91.0187530517578","","","","","","","","","","","","","","","","",
"Cuba","CUB","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","97.8499984741211","","","","","","","","","","","","","","","","","","","","","99.8000030517578","","","","","","","","","","99.6699981689453","","","","","","","97.6500015258789","","","","","",
"Curacao","CUW","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.870002746582","","","","","","","","","","","","","","","","","",
